S-10B
S-4D Kaldi 0 40.925925925925924 S:142, I:8, D:71
S-4D Google 1 58.4051724137931 S:110, I:3, D:158
S-4D Kaldi 1 42.025862068965516 S:120, I:9, D:66
S-4D Google 2 54.65465465465466 S:75, I:2, D:105
S-4D Kaldi 2 37.23723723723724 S:64, I:5, D:55
S-4D Google 3 53.13351498637602 S:89, I:1, D:105
S-4D Kaldi 3 35.694822888283376 S:69, I:2, D:60
S-4D Google 4 52.83018867924528 S:125, I:0, D:127
S-4D Kaldi 4 36.687631027253666 S:93, I:8, D:74
S-4D Google 5 58.07174887892376 S:121, I:1, D:137
S-4D Kaldi 5 37.66816143497758 S:102, I:9, D:57
S-8D
S-8D Google 0 42.435424354243544 S:40, I:1, D:74
S-8D Kaldi 0 20.66420664206642 S:38, I:4, D:14
S-8D Google 1 33.72549019607843 S:32, I:0, D:54
S-8D Kaldi 1 17.254901960784313 S:29, I:1, D:14
S-8D Google 2 30.76923076923077 S:38, I:1, D:97
S-8D Kaldi 2 18.099547511312217 S:42, I:7, D:31
S-8D Google 3 38.9344262295082 S:64, I:0, D:126
S-8D Kaldi 3 27.868852459016395 S:83, I:6, D:47
S-8D Google 4 34.8968105065666 S:83, I:2, D:101
S-8D Kaldi 4 21.575984990619137 S:77, I:6, D:32
S-8D Google 5 31.50105708245243 S:60, I:2, D:87
S-8D Kaldi 5 17.33615221987315 S:50, I:5, D:27
S-13A
S-3C
S-3C Google 0 37.87234042553192 S:44, I:1, D:44
S-3C Kaldi 0 33.61702127659574 S:37, I:12, D:30
S-3C Google 1 39.354838709677416 S:23, I:1, D:37
S-3C Kaldi 1 33.54838709677419 S:29, I:6, D:17
S-3C Google 2 43.351063829787236 S:50, I:4, D:109
S-3C Kaldi 2 28.72340425531915 S:59, I:1, D:48
S-3C Google 3 32.327586206896555 S:43, I:3, D:29
S-3C Kaldi 3 20.689655172413794 S:36, I:2, D:10
S-3C Google 4 38.651685393258425 S:91, I:9, D:72
S-3C Kaldi 4 22.471910112359552 S:65, I:5, D:30
S-3C Google 5 39.48339483394834 S:40, I:1, D:66
S-3C Kaldi 5 29.88929889298893 S:41, I:2, D:38
